id,course,question_text,question_type,order
149,EDA 106,"According to scholars in EDA 106, NCAC is primarily concerned with:",mcq,49
150,EDA 106,Which of the following best describes the concept of non-material culture in Concept of Culture?,mcq,50
151,EDA 106,"According to scholars in EDA 106, language is primarily concerned with:",mcq,51
152,EDA 106,"When evaluating Culture and Society, enculturation is often seen as a catalyst for:",mcq,52
153,EDA 106,"According to scholars in EDA 106, Benin bronzes is primarily concerned with:",mcq,53
154,EDA 106,Identify the major factor influencing symbolism within the context of Art as a Cultural Expression.,mcq,54
155,EDA 106,"According to scholars in EDA 106, hybridity is primarily concerned with:",mcq,55
156,EDA 106,True or False: promotion is considered a secondary element in the framework of Cultural Policy in Nigeria.,true_false,56
157,EDA 106,A key characteristic of non-material culture as discussed in EDA 106 is:,mcq,57
158,EDA 106,Which of the following best describes the concept of language in Elements of Culture?,mcq,58
159,EDA 106,True or False: enculturation is considered a secondary element in the framework of Culture and Society.,true_false,59
160,EDA 106,Which scholar is most associated with the study of Igbo-Ukwu in Nigerian Cultural Heritage?,mcq,60
161,EDA 106,True or False: symbolism is considered a secondary element in the framework of Art as a Cultural Expression.,true_false,61
162,EDA 106,Which scholar is most associated with the study of global village in Globalization and Culture?,mcq,62
163,EDA 106,"In the Nigerian educational system, NCAC plays a vital role in Cultural Policy in Nigeria by:",mcq,63
164,EDA 106,"According to scholars in EDA 106, non-material culture is primarily concerned with:",mcq,64
165,EDA 106,"When evaluating Elements of Culture, norms is often seen as a catalyst for:",mcq,65
166,EDA 106,Identify the major factor influencing acculturation within the context of Culture and Society.,mcq,66
167,EDA 106,"According to scholars in EDA 106, traditional festivals is primarily concerned with:",mcq,67
168,EDA 106,"In the Nigerian educational system, symbolism plays a vital role in Art as a Cultural Expression by:",mcq,68
169,EDA 106,Which of the following best describes the concept of hybridity in Globalization and Culture?,mcq,69
170,EDA 106,"In the Nigerian educational system, promotion plays a vital role in Cultural Policy in Nigeria by:",mcq,70
171,EDA 106,A key characteristic of dynamic as discussed in EDA 106 is:,mcq,71
172,EDA 106,Which scholar is most associated with the study of religion in Elements of Culture?,mcq,72
173,EDA 106,Which scholar is most associated with the study of enculturation in Culture and Society?,mcq,73
174,EDA 106,Which scholar is most associated with the study of Benin bronzes in Nigerian Cultural Heritage?,mcq,74
175,EDA 106,"When evaluating Art as a Cultural Expression, aesthetic values is often seen as a catalyst for:",mcq,75
176,EDA 106,"In the Nigerian educational system, cultural imperialism plays a vital role in Globalization and Culture by:",mcq,76
177,EDA 106,True or False: preservation is considered a secondary element in the framework of Cultural Policy in Nigeria.,true_false,77
178,EDA 106,A key characteristic of shared values as discussed in EDA 106 is:,mcq,78
179,EDA 106,Identify the major factor influencing norms within the context of Elements of Culture.,mcq,79
180,EDA 106,A key characteristic of cultural change as discussed in EDA 106 is:,mcq,80
181,EDA 106,Which scholar is most associated with the study of Igbo-Ukwu in Nigerian Cultural Heritage?,mcq,81
182,EDA 106,"When evaluating Art as a Cultural Expression, symbolism is often seen as a catalyst for:",mcq,82
183,EDA 106,Which of the following best describes the concept of global village in Globalization and Culture?,mcq,83
184,EDA 106,Which scholar is most associated with the study of Ministry of Culture in Cultural Policy in Nigeria?,mcq,84
185,EDA 106,Identify the major factor influencing dynamic within the context of Concept of Culture.,mcq,85
186,EDA 106,Identify the major factor influencing language within the context of Elements of Culture.,mcq,86
187,EDA 106,Which scholar is most associated with the study of cultural change in Culture and Society?,mcq,87
188,EDA 106,"In the Nigerian educational system, Igbo-Ukwu plays a vital role in Nigerian Cultural Heritage by:",mcq,88
189,EDA 106,Which of the following best describes the concept of aesthetic values in Art as a Cultural Expression?,mcq,89
190,EDA 106,Identify the major factor influencing cultural imperialism within the context of Globalization and Culture.,mcq,90
191,EDA 106,Which scholar is most associated with the study of preservation in Cultural Policy in Nigeria?,mcq,91
192,EDA 106,"When evaluating Concept of Culture, shared values is often seen as a catalyst for:",mcq,92
193,EDA 106,"In the Nigerian educational system, language plays a vital role in Elements of Culture by:",mcq,93
194,EDA 106,"When evaluating Culture and Society, social structure is often seen as a catalyst for:",mcq,94
195,EDA 106,"According to scholars in EDA 106, traditional festivals is primarily concerned with:",mcq,95
196,EDA 106,Identify the major factor influencing symbolism within the context of Art as a Cultural Expression.,mcq,96
197,EDA 106,"When evaluating Globalization and Culture, global village is often seen as a catalyst for:",mcq,97
198,EDA 106,Which of the following best describes the concept of preservation in Cultural Policy in Nigeria?,mcq,98
199,EDA 106,"When evaluating Concept of Culture, shared values is often seen as a catalyst for:",mcq,99
200,EDA 106,A key characteristic of symbols as discussed in EDA 106 is:,mcq,100
201,EDA 222,What is the significant difference between demonstration method and other methods in Pedagogical Approaches?,mcq,1
202,EDA 222,"According to standard practices in Visual Arts Teaching, studio pedagogy should be implemented by:",mcq,2
203,EDA 222,"When applying improvisation within EDA 222, the instructor's primary goal is to:",mcq,3
204,EDA 222,Identify the core component of instructional sequence as it relates to Lesson Planning.,mcq,4
205,EDA 222,What is the significant difference between studio safety and other methods in Classroom Management?,mcq,5
206,EDA 222,"When applying performance rubrics within EDA 222, the instructor's primary goal is to:",mcq,6
207,EDA 222,What is the significant difference between skill isolation and other methods in Micro-teaching?,mcq,7
208,EDA 222,What is the significant difference between project method and other methods in Pedagogical Approaches?,mcq,8
209,EDA 222,A student utilizing criticism cycles in a EDA 222 setting is likely demonstrating:,mcq,9
210,EDA 222,"In the context of Music and Dance Strategies, which technique best illustrates the use of improvisation?",mcq,10
211,EDA 222,What is the significant difference between behavioral objectives and other methods in Lesson Planning?,mcq,11
212,EDA 222,"In the context of Classroom Management, which technique best illustrates the use of collaborative spaces?",mcq,12
213,EDA 222,Identify the core component of formative feedback as it relates to Assessment Techniques.,mcq,13
214,EDA 222,"True or False: In EDA 222, feedback loops is primarily used for summative rather than formative purposes.",true_false,14
215,EDA 222,"True or False: In EDA 222, project method is primarily used for summative rather than formative purposes.",true_false,15
216,EDA 222,"In the context of Visual Arts Teaching, which technique best illustrates the use of color theory instruction?",mcq,16
217,EDA 222,What is the significant difference between aural training and other methods in Music and Dance Strategies?,mcq,17
218,EDA 222,"In the context of Lesson Planning, which technique best illustrates the use of entry behavior?",mcq,18
219,EDA 222,What is the significant difference between studio safety and other methods in Classroom Management?,mcq,19
220,EDA 222,"True or False: In EDA 222, formative feedback is primarily used for summative rather than formative purposes.",true_false,20
221,EDA 222,What is the significant difference between skill isolation and other methods in Micro-teaching?,mcq,21
222,EDA 222,What is the significant difference between project method and other methods in Pedagogical Approaches?,mcq,22
223,EDA 222,"True or False: In EDA 222, criticism cycles is primarily used for summative rather than formative purposes.",true_false,23
224,EDA 222,"True or False: In EDA 222, aural training is primarily used for summative rather than formative purposes.",true_false,24
225,EDA 222,Identify the core component of behavioral objectives as it relates to Lesson Planning.,mcq,25
226,EDA 222,What is the significant difference between studio safety and other methods in Classroom Management?,mcq,26
227,EDA 222,What is the significant difference between peer evaluation and other methods in Assessment Techniques?,mcq,27
228,EDA 222,"When applying feedback loops within EDA 222, the instructor's primary goal is to:",mcq,28
229,EDA 222,"True or False: In EDA 222, inquiry-based learning is primarily used for summative rather than formative purposes.",true_false,29
230,EDA 222,"True or False: In EDA 222, media exploration is primarily used for summative rather than formative purposes.",true_false,30
231,EDA 222,Identify the core component of aural training as it relates to Music and Dance Strategies.,mcq,31
232,EDA 222,What is the significant difference between set induction and other methods in Lesson Planning?,mcq,32
233,EDA 222,A student utilizing studio safety in a EDA 222 setting is likely demonstrating:,mcq,33
234,EDA 222,"True or False: In EDA 222, formative feedback is primarily used for summative rather than formative purposes.",true_false,34
235,EDA 222,"In the context of Micro-teaching, which technique best illustrates the use of feedback loops?",mcq,35
236,EDA 222,"True or False: In EDA 222, inquiry-based learning is primarily used for summative rather than formative purposes.",true_false,36
237,EDA 222,What is the significant difference between criticism cycles and other methods in Visual Arts Teaching?,mcq,37
238,EDA 222,A student utilizing improvisation in a EDA 222 setting is likely demonstrating:,mcq,38
239,EDA 222,Identify the core component of behavioral objectives as it relates to Lesson Planning.,mcq,39
240,EDA 222,"In the context of Classroom Management, which technique best illustrates the use of resource allocation?",mcq,40
241,EDA 222,"When applying formative feedback within EDA 222, the instructor's primary goal is to:",mcq,41
242,EDA 222,"When applying instructional modeling within EDA 222, the instructor's primary goal is to:",mcq,42
243,EDA 222,"True or False: In EDA 222, demonstration method is primarily used for summative rather than formative purposes.",true_false,43
244,EDA 222,"In the context of Visual Arts Teaching, which technique best illustrates the use of color theory instruction?",mcq,44
245,EDA 222,Identify the core component of improvisation as it relates to Music and Dance Strategies.,mcq,45
246,EDA 222,Identify the core component of behavioral objectives as it relates to Lesson Planning.,mcq,46
247,EDA 222,What is the significant difference between resource allocation and other methods in Classroom Management?,mcq,47
248,EDA 222,"True or False: In EDA 222, performance rubrics is primarily used for summative rather than formative purposes.",true_false,48
249,EDA 222,"When applying skill isolation within EDA 222, the instructor's primary goal is to:",mcq,49
250,EDA 222,"In the context of Pedagogical Approaches, which technique best illustrates the use of demonstration method?",mcq,50
251,EDA 222,"In the context of Visual Arts Teaching, which technique best illustrates the use of color theory instruction?",mcq,51
252,EDA 222,What is the significant difference between improvisation and other methods in Music and Dance Strategies?,mcq,52
253,EDA 222,"True or False: In EDA 222, behavioral objectives is primarily used for summative rather than formative purposes.",true_false,53
254,EDA 222,"When applying studio safety within EDA 222, the instructor's primary goal is to:",mcq,54
255,EDA 222,"In the context of Assessment Techniques, which technique best illustrates the use of formative feedback?",mcq,55
256,EDA 222,A student utilizing peer observation in a EDA 222 setting is likely demonstrating:,mcq,56
257,EDA 222,A student utilizing project method in a EDA 222 setting is likely demonstrating:,mcq,57
258,EDA 222,"According to standard practices in Visual Arts Teaching, media exploration should be implemented by:",mcq,58
259,EDA 222,"True or False: In EDA 222, choreographic structures is primarily used for summative rather than formative purposes.",true_false,59
260,EDA 222,"When applying set induction within EDA 222, the instructor's primary goal is to:",mcq,60
261,EDA 222,"According to standard practices in Classroom Management, student engagement should be implemented by:",mcq,61
262,EDA 222,What is the significant difference between portfolio assessment and other methods in Assessment Techniques?,mcq,62
263,EDA 222,"In the context of Micro-teaching, which technique best illustrates the use of peer observation?",mcq,63
264,EDA 222,What is the significant difference between demonstration method and other methods in Pedagogical Approaches?,mcq,64
265,EDA 222,"True or False: In EDA 222, studio pedagogy is primarily used for summative rather than formative purposes.",true_false,65
266,EDA 222,Identify the core component of aural training as it relates to Music and Dance Strategies.,mcq,66
267,EDA 222,A student utilizing behavioral objectives in a EDA 222 setting is likely demonstrating:,mcq,67
268,EDA 222,What is the significant difference between collaborative spaces and other methods in Classroom Management?,mcq,68
269,EDA 222,What is the significant difference between portfolio assessment and other methods in Assessment Techniques?,mcq,69
270,EDA 222,"According to standard practices in Micro-teaching, peer observation should be implemented by:",mcq,70
271,EDA 222,What is the significant difference between project method and other methods in Pedagogical Approaches?,mcq,71
272,EDA 222,"According to standard practices in Visual Arts Teaching, criticism cycles should be implemented by:",mcq,72
273,EDA 222,"In the context of Music and Dance Strategies, which technique best illustrates the use of rhythmic notation?",mcq,73
274,EDA 222,A student utilizing entry behavior in a EDA 222 setting is likely demonstrating:,mcq,74
275,EDA 222,Identify the core component of resource allocation as it relates to Classroom Management.,mcq,75
276,EDA 222,"According to standard practices in Assessment Techniques, performance rubrics should be implemented by:",mcq,76
277,EDA 222,"When applying instructional modeling within EDA 222, the instructor's primary goal is to:",mcq,77
278,EDA 222,"In the context of Pedagogical Approaches, which technique best illustrates the use of inquiry-based learning?",mcq,78
279,EDA 222,"According to standard practices in Visual Arts Teaching, media exploration should be implemented by:",mcq,79
280,EDA 222,"According to standard practices in Music and Dance Strategies, rhythmic notation should be implemented by:",mcq,80
281,EDA 222,"In the context of Lesson Planning, which technique best illustrates the use of set induction?",mcq,81
282,EDA 222,Identify the core component of collaborative spaces as it relates to Classroom Management.,mcq,82
283,EDA 222,"True or False: In EDA 222, performance rubrics is primarily used for summative rather than formative purposes.",true_false,83
284,EDA 222,"In the context of Micro-teaching, which technique best illustrates the use of feedback loops?",mcq,84
285,EDA 222,"When applying project method within EDA 222, the instructor's primary goal is to:",mcq,85
286,EDA 222,"When applying studio pedagogy within EDA 222, the instructor's primary goal is to:",mcq,86
287,EDA 222,What is the significant difference between improvisation and other methods in Music and Dance Strategies?,mcq,87
288,EDA 222,"In the context of Lesson Planning, which technique best illustrates the use of set induction?",mcq,88
289,EDA 222,Identify the core component of collaborative spaces as it relates to Classroom Management.,mcq,89
290,EDA 222,"True or False: In EDA 222, performance rubrics is primarily used for summative rather than formative purposes.",true_false,90
291,EDA 222,What is the significant difference between instructional modeling and other methods in Micro-teaching?,mcq,91
292,EDA 222,Identify the core component of project method as it relates to Pedagogical Approaches.,mcq,92
293,EDA 222,"True or False: In EDA 222, color theory instruction is primarily used for summative rather than formative purposes.",true_false,93
294,EDA 222,"True or False: In EDA 222, rhythmic notation is primarily used for summative rather than formative purposes.",true_false,94
295,EDA 222,"In the context of Lesson Planning, which technique best illustrates the use of instructional sequence?",mcq,95
296,EDA 222,"In the context of Classroom Management, which technique best illustrates the use of resource allocation?",mcq,96
297,EDA 222,"True or False: In EDA 222, formative feedback is primarily used for summative rather than formative purposes.",true_false,97
298,EDA 222,"According to standard practices in Micro-teaching, instructional modeling should be implemented by:",mcq,98
299,EDA 222,What is the significant difference between project method and other methods in Pedagogical Approaches?,mcq,99
300,EDA 222,"True or False: In EDA 222, media exploration is primarily used for summative rather than formative purposes.",true_false,100
301,EDA 226,"In the context of Foundations of DiE, which technique best illustrates the use of educational drama?",mcq,1
302,EDA 226,"When applying protagonist/antagonist within EDA 226, the instructor's primary goal is to:",mcq,2
303,EDA 226,"True or False: In EDA 226, dialogue construction is primarily used for summative rather than formative purposes.",true_false,3
304,EDA 226,"True or False: In EDA 226, blocking is primarily used for summative rather than formative purposes.",true_false,4
305,EDA 226,"When applying scenography within EDA 226, the instructor's primary goal is to:",mcq,5
306,EDA 226,A student utilizing mantle of the expert in a EDA 226 setting is likely demonstrating:,mcq,6
307,EDA 226,"In the context of Theatre Management, which technique best illustrates the use of production scheduling?",mcq,7
308,EDA 226,"According to standard practices in Foundations of DiE, educational drama should be implemented by:",mcq,8
309,EDA 226,"True or False: In EDA 226, climactic structure is primarily used for summative rather than formative purposes.",true_false,9
310,EDA 226,"According to standard practices in Playwriting, dialogue construction should be implemented by:",mcq,10
311,EDA 226,"When applying ensemble building within EDA 226, the instructor's primary goal is to:",mcq,11
312,EDA 226,A student utilizing scenography in a EDA 226 setting is likely demonstrating:,mcq,12
313,EDA 226,"When applying teacher-in-role within EDA 226, the instructor's primary goal is to:",mcq,13
314,EDA 226,Identify the core component of stage management as it relates to Theatre Management.,mcq,14
